accession	accession_version	strain	date	region	country	division	location	length	host	release_date	update_date	sra_accessions	authors	institution	url
HQ234500	HQ234500.1	HQ234500	1968-XX-XX	Africa	Nigeria			10251	Homo sapiens	2012-03-19	2012-03-19		Haddow et al.	University of Texas Medical Branch, Department of Pathology	https://www.ncbi.nlm.nih.gov/nuccore/HQ234500
HQ234501	HQ234501.1	HQ234501	1984-XX-XX	Africa	Senegal			10269	Aedes africanus	2012-03-19	2012-03-19		Haddow et al.	University of Texas Medical Branch, Department of Pathology	https://www.ncbi.nlm.nih.gov/nuccore/HQ234501
HW822069	HW822069.1	HW822069	XXXX-XX-XX					397		2015-05-27	2015-05-27		Despres et al.		https://www.ncbi.nlm.nih.gov/nuccore/HW822069
JC303440	JC303440.1	JC303440	XXXX-XX-XX					397		2014-02-05	2014-02-05		MANUGUERRA et al.		https://www.ncbi.nlm.nih.gov/nuccore/JC303440
JN860885	JN860885.1	JN860885	2010-XX-XX	Asia	Cambodia			10269	Homo sapiens	2012-03-19	2012-03-19		Haddow et al.	University of Texas Medical Branch, Department of Pathology	https://www.ncbi.nlm.nih.gov/nuccore/JN860885
KF258813	KF258813.1	KF258813	2012-XX-XX	Asia	Indonesia			402	Homo sapiens	2013-07-31	2013-09-11		Kwong et al.	Victorian Infectious Diseases Reference Laboratory, Virus Identification Laboratory	https://www.ncbi.nlm.nih.gov/nuccore/KF258813
KF268948	KF268948.1	KF268948	1976-XX-XX	Africa	Central African Republic			10788	Aedes africanus	2014-01-13	2015-12-21		Berthet et al.	Institut Pasteur, Department of Virology	https://www.ncbi.nlm.nih.gov/nuccore/KF268948
KF268949	KF268949.1	KF268949	XXXX-XX-XX	Africa	Central African Republic			10776	Aedes opok	2014-01-13	2015-12-21		Berthet et al.	Institut Pasteur, Department of Virology	https://www.ncbi.nlm.nih.gov/nuccore/KF268949
KF268950	KF268950.1	KF268950	XXXX-XX-XX	Africa	Central African Republic			10755	Aedes africanus	2014-01-13	2015-12-21		Berthet et al.	Institut Pasteur, Department of Virology	https://www.ncbi.nlm.nih.gov/nuccore/KF268950
KF270886	KF270886.1	KF270886	2007-XX-XX	Africa	Gabon			841	Homo sapiens	2014-03-04	2014-03-04		Grard et al.	Centre International de Recherches Medicales de Franceville, Unite des Maladies Virales Emergentes	https://www.ncbi.nlm.nih.gov/nuccore/KF270886
KF270887	KF270887.1	KF270887	2007-XX-XX	Africa	Gabon			772	Homo sapiens	2014-03-04	2014-03-04		Grard et al.	Centre International de Recherches Medicales de Franceville, Unite des Maladies Virales Emergentes	https://www.ncbi.nlm.nih.gov/nuccore/KF270887
KF383015	KF383015.1	KF383015	2001-XX-XX	Africa	Senegal			753		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383015
KF383016	KF383016.1	KF383016	2001-XX-XX	Africa	Senegal			753		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383016
KF383017	KF383017.1	KF383017	2001-XX-XX	Africa	Senegal			753		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383017
KF383018	KF383018.1	KF383018	2000-XX-XX	Africa	Senegal			753		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383018
KF383019	KF383019.1	KF383019	1998-XX-XX	Africa	Senegal			753		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383019
KF383020	KF383020.1	KF383020	1980-XX-XX	Africa	Côte d'Ivoire			753		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383020
KF383021	KF383021.1	KF383021	1998-XX-XX	Africa	Senegal			753		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383021
KF383022	KF383022.1	KF383022	1997-XX-XX	Africa	Senegal			753		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383022
KF383023	KF383023.1	KF383023	1997-XX-XX	Africa	Senegal			753		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383023
KF383024	KF383024.1	KF383024	1997-XX-XX	Africa	Senegal			753		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383024
KF383025	KF383025.1	KF383025	1997-XX-XX	Africa	Senegal			753		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383025
KF383026	KF383026.1	KF383026	1997-XX-XX	Africa	Senegal			753		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383026
KF383027	KF383027.1	KF383027	1997-XX-XX	Africa	Senegal			753		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383027
KF383028	KF383028.1	KF383028	2002-XX-XX	Africa	Senegal			753		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383028
KF383029	KF383029.1	KF383029	2002-XX-XX	Africa	Senegal			753		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383029
KF383030	KF383030.1	KF383030	1981-XX-XX	Africa	Burkina Faso			753		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383030
KF383031	KF383031.1	KF383031	1969-XX-XX	Africa	Senegal			753		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383031
KF383032	KF383032.1	KF383032	1979-XX-XX	Africa	Senegal			753		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383032
KF383033	KF383033.1	KF383033	1979-XX-XX	Africa	Senegal			753		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383033
KF383034	KF383034.1	KF383034	1979-XX-XX	Africa	Senegal			753		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383034
KF383035	KF383035.1	KF383035	1963-XX-XX	Africa	Uganda			735		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383035
KF383036	KF383036.1	KF383036	1999-XX-XX	Africa	Côte d'Ivoire			753		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383036
KF383037	KF383037.1	KF383037	1996-XX-XX	Africa	Côte d'Ivoire			753		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383037
KF383038	KF383038.1	KF383038	1999-XX-XX	Africa	Côte d'Ivoire			753		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383038
KF383039	KF383039.1	KF383039	1991-XX-XX	Africa	Senegal			753		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383039
KF383040	KF383040.1	KF383040	1990-XX-XX	Africa	Côte d'Ivoire			753		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383040
KF383041	KF383041.1	KF383041	1990-XX-XX	Africa	Côte d'Ivoire			753		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383041
KF383042	KF383042.1	KF383042	1990-XX-XX	Africa	Côte d'Ivoire			753		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383042
KF383043	KF383043.1	KF383043	1990-XX-XX	Africa	Côte d'Ivoire			753		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383043
KF383044	KF383044.1	KF383044	1990-XX-XX	Africa	Côte d'Ivoire			753		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383044
KF383045	KF383045.1	KF383045	1990-XX-XX	Africa	Côte d'Ivoire			753		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383045
KF383046	KF383046.1	KF383046	1999-XX-XX	Africa	Côte d'Ivoire			753		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383046
KF383047	KF383047.1	KF383047	1991-XX-XX	Africa	Senegal			537		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383047
KF383048	KF383048.1	KF383048	1969-XX-XX	Africa	Senegal			537		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383048
KF383049	KF383049.1	KF383049	1968-XX-XX	Africa	Senegal			537		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383049
KF383050	KF383050.1	KF383050	1979-XX-XX	Africa	Senegal			537		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383050
KF383051	KF383051.1	KF383051	1979-XX-XX	Africa	Senegal			537		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383051
KF383052	KF383052.1	KF383052	2002-XX-XX	Africa	Senegal			537		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383052
KF383053	KF383053.1	KF383053	2002-XX-XX	Africa	Senegal			537		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383053
KF383054	KF383054.1	KF383054	2001-XX-XX	Africa	Senegal			537		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383054
KF383055	KF383055.1	KF383055	2001-XX-XX	Africa	Senegal			537		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383055
KF383056	KF383056.1	KF383056	2001-XX-XX	Africa	Senegal			537		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383056
KF383057	KF383057.1	KF383057	2001-XX-XX	Africa	Senegal			537		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383057
KF383058	KF383058.1	KF383058	2001-XX-XX	Africa	Senegal			537		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383058
KF383059	KF383059.1	KF383059	2000-XX-XX	Africa	Senegal			537		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383059
KF383060	KF383060.1	KF383060	2000-XX-XX	Africa	Senegal			537		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383060
KF383061	KF383061.1	KF383061	1998-XX-XX	Africa	Senegal			537		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383061
KF383062	KF383062.1	KF383062	1998-XX-XX	Africa	Senegal			537		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383062
KF383063	KF383063.1	KF383063	1997-XX-XX	Africa	Senegal			537		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383063
KF383064	KF383064.1	KF383064	1997-XX-XX	Africa	Senegal			537		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383064
KF383065	KF383065.1	KF383065	1997-XX-XX	Africa	Senegal			537		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383065
KF383066	KF383066.1	KF383066	1997-XX-XX	Africa	Senegal			537		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383066
KF383067	KF383067.1	KF383067	1997-XX-XX	Africa	Senegal			537		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383067
KF383068	KF383068.1	KF383068	1997-XX-XX	Africa	Senegal			537		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383068
KF383069	KF383069.1	KF383069	1997-XX-XX	Africa	Senegal			537		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383069
KF383070	KF383070.1	KF383070	1968-XX-XX	Africa	Central African Republic			537		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383070
KF383071	KF383071.1	KF383071	1999-XX-XX	Africa	Côte d'Ivoire			537		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383071
KF383072	KF383072.1	KF383072	1999-XX-XX	Africa	Côte d'Ivoire			537		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383072
KF383073	KF383073.1	KF383073	1999-XX-XX	Africa	Côte d'Ivoire			537		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383073
KF383074	KF383074.1	KF383074	1996-XX-XX	Africa	Côte d'Ivoire			537		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383074
KF383075	KF383075.1	KF383075	1990-XX-XX	Africa	Côte d'Ivoire			537		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383075
KF383076	KF383076.1	KF383076	1990-XX-XX	Africa	Côte d'Ivoire			537		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383076
KF383077	KF383077.1	KF383077	1990-XX-XX	Africa	Côte d'Ivoire			537		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383077
KF383078	KF383078.1	KF383078	1981-XX-XX	Africa	Burkina Faso			537		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383078
KF383079	KF383079.1	KF383079	1990-XX-XX	Africa	Côte d'Ivoire			537		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383079
KF383080	KF383080.1	KF383080	1990-XX-XX	Africa	Côte d'Ivoire			537		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383080
KF383081	KF383081.1	KF383081	1990-XX-XX	Africa	Côte d'Ivoire			537		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383081
KF383082	KF383082.1	KF383082	1980-XX-XX	Africa	Côte d'Ivoire			537		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383082
KF383083	KF383083.1	KF383083	1979-XX-XX	Africa	Senegal			536		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383083
KF383084	KF383084.1	KF383084	1991-XX-XX	Africa	Senegal			708		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383084
KF383085	KF383085.1	KF383085	1969-XX-XX	Africa	Senegal			708		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383085
KF383086	KF383086.1	KF383086	1999-XX-XX	Africa	Côte d'Ivoire			708		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383086
KF383087	KF383087.1	KF383087	1979-XX-XX	Africa	Senegal			708		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383087
KF383088	KF383088.1	KF383088	1979-XX-XX	Africa	Senegal			708		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383088
KF383089	KF383089.1	KF383089	2002-XX-XX	Africa	Senegal			708		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383089
KF383090	KF383090.1	KF383090	2002-XX-XX	Africa	Senegal			708		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383090
KF383091	KF383091.1	KF383091	2001-XX-XX	Africa	Senegal			708		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383091
KF383092	KF383092.1	KF383092	2001-XX-XX	Africa	Senegal			708		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383092
KF383093	KF383093.1	KF383093	2001-XX-XX	Africa	Senegal			708		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383093
KF383094	KF383094.1	KF383094	2000-XX-XX	Africa	Senegal			708		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383094
KF383095	KF383095.1	KF383095	1998-XX-XX	Africa	Senegal			708		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383095
KF383096	KF383096.1	KF383096	1998-XX-XX	Africa	Senegal			708		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383096
KF383097	KF383097.1	KF383097	1997-XX-XX	Africa	Senegal			708		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383097
KF383098	KF383098.1	KF383098	1997-XX-XX	Africa	Senegal			708		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383098
KF383099	KF383099.1	KF383099	1997-XX-XX	Africa	Senegal			708		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383099
KF383100	KF383100.1	KF383100	1997-XX-XX	Africa	Senegal			708		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383100
KF383101	KF383101.1	KF383101	1997-XX-XX	Africa	Senegal			708		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383101
KF383102	KF383102.1	KF383102	1997-XX-XX	Africa	Senegal			708		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383102
KF383103	KF383103.1	KF383103	1999-XX-XX	Africa	Côte d'Ivoire			708		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383103
KF383104	KF383104.1	KF383104	1999-XX-XX	Africa	Côte d'Ivoire			708		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383104
KF383105	KF383105.1	KF383105	1996-XX-XX	Africa	Côte d'Ivoire			708		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383105
KF383106	KF383106.1	KF383106	1990-XX-XX	Africa	Côte d'Ivoire			708		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383106
KF383107	KF383107.1	KF383107	1990-XX-XX	Africa	Côte d'Ivoire			708		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383107
KF383108	KF383108.1	KF383108	1990-XX-XX	Africa	Côte d'Ivoire			708		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383108
KF383109	KF383109.1	KF383109	1981-XX-XX	Africa	Burkina Faso			708		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383109
KF383110	KF383110.1	KF383110	1990-XX-XX	Africa	Côte d'Ivoire			708		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383110
KF383111	KF383111.1	KF383111	1990-XX-XX	Africa	Côte d'Ivoire			708		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383111
KF383112	KF383112.1	KF383112	1990-XX-XX	Africa	Côte d'Ivoire			708		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383112
KF383113	KF383113.1	KF383113	1980-XX-XX	Africa	Côte d'Ivoire			708		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383113
KF383114	KF383114.1	KF383114	1979-XX-XX	Africa	Senegal			708		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383114
KF383115	KF383115.1	KF383115	XXXX-XX-XX					10272		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383115
KF383116	KF383116.1	KF383116	XXXX-XX-XX					10272		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383116
KF383117	KF383117.1	KF383117	XXXX-XX-XX					10272		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383117
KF383118	KF383118.1	KF383118	XXXX-XX-XX					10272		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383118
KF383119	KF383119.1	KF383119	XXXX-XX-XX					10272		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383119
KF383120	KF383120.1	KF383120	XXXX-XX-XX					9981		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383120
KF383121	KF383121.1	KF383121	XXXX-XX-XX					9981		2014-03-15	2014-03-15		Faye et al.	University of Sao Paulo, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KF383121
